section,question,answer,page_link
ثقافة,ما الموجهات التصميمية للعمارة السعودية؟,"يقصد بالموجهات التصميمية للعمارة السعودية، الإرشادات والاشتراطات المعمارية والعمرانية، التي تسهم في انسجام عملية التصميم والتطوير العمراني مع الطراز المعماري المحلي الأصيل لكل نطاق جغرافي على مستوى المملكة العربية السعودية، وتُطبَّق على تصميم وتطوير المباني والفراغات العامة.
وتعنى بالتصميم الخارجي للمبنى من زخارف وألوان وعناصر معمارية على الواجهات، بما لا يتنافى مع الاحتياجات الفنية لكود البناء السعودي، الذي يُعنى بالجوانب الهندسية، مثل الإنشائية، والميكانيكية، والكهربائية.",https://saudipedia.com/article/17382/ثقافة/شؤون-ثقافية/ما-الموجهات-التصميمية-للعمارة-السعودية
اقتصاد وأعمال,أين يقع منجم الحجار؟,منجم الحجار هو أحد مناجم الذهب في المملكة العربية السعودية، يقع بمحافظة بيشة في منطقة عسير على مساحة نحو 1895.69 كم2، ويبعد عن جنوب شرق الرياض بنحو 710 كم، افتتح عام 1420هـ/2001م بطاقة إنتاجية 750 ألف طن سنويًا، وتجري عملية إعادة تكسير الخام واستخلاص الذهب باستخدام طريقة ترشيح الركام.,https://saudipedia.com/article/17380/اقتصاد-وأعمال/شؤون-اقتصادية/أين-يقع-منجم-الحجار
مجتمع,هل توجد جهة مسؤولة عن الطب البديل في السعودية؟,"نعم، يُعدُّ المركز الوطني للطب البديل والتكميلي هو الجهة المسؤولة والمرجعية فيما يتعلَّق بالطب البديل ونشاطاته في المملكة العربية السعودية، ويرتبط عمل المركز مباشرة بوزير الصحة.
أُنشئ المركز عام 1429هـ/2008م، ويُقر خمس ممارسات، هي: الوخز الإبري، وتقويم العظام، وتقويم العمود الفقري، والمعالجة الطبيعية، والحجامة.
وللمركز مهام عدة، منها: تحديد الأسس والمعايير والضوابط اللازمة لمزاولة مهنة الطب البديل والتكميلي، ووضع الأدلة والإجراءات، وتوثيق علوم الطب البديل والتكميلي، وإجراء الدراسات والأبحاث العلمية حول هذا النوع من الطب، وتقييم الأنشطة المرخص لها والإشراف عليها، وإنشاء قاعدة بيانات وتحديثها، ونشر التقارير العلمية وعقد المؤتمرات واللقاءات العلمية ضمن مجال اختصاص المركز.",https://saudipedia.com/article/17377/مجتمع/الصحة/هل-توجد-جهة-مسؤولة-عن-الطب-البديل-في-السعودية
حكومة وسياسة,كم عدد الجامعات في منطقة الحدود الشمالية؟,"تضم منطقة الحدود الشمالية جامعة حكومية واحدة، هي جامعة الحدود الشمالية، أُسست عام 1428هـ/2007م.يقع المقر الرئيس للجامعة في مدينة عرعر، ولها ثلاثة أفرع، تتوزع في محافظات رفحاء وطريف والعويقيلة.
يصل مجموع كلياتها إلى 15 كلية، ثماني كليات منها في مدينة عرعر،وأربع كليات في فرع محافظة رفحاء، وكليتان في فرع محافظة طريف،وكلية واحدة في فرع محافظة العويقيلة.",https://saudipedia.com/article/17372/حكومة-وسياسة/التعليم-والتدريب/كم-عدد-الجامعات-في-منطقة-الحدود-الشمالية
تاريخ,ما هي حضارة المقر؟,"حضارة المقر موقع أثري يضم آثارًا لحضارات قديمة عمرها تسعة آلاف سنة من فترة العصر الحجري الحديث، يقع في منطقة متوسطة بين محافظة تثليث بمنطقة عسير ومحافظة وادي الدواسر بمنطقة الرياض في المملكة العربية السعودية.
وعثر في الموقع على عدد من المواد الأثرية بلغت نحو 80 قطعة،منها تماثيل ومنحوتات صخرية لخيول، تدل على أنّ استئناس الإنسان للخيل بدأ في أرض المملكة قبل أي مكان آخر في العالم.
وبلغ طول أحد تماثيل الخيل التي وجدت في الموقع 100 سم وهو يمثل الرقبة والصدر، ولم يعثر من قبل على تماثيل حيوانات بهذا الحجم في أي موقع آخر في العالم.
ويوجد في الموقع حصن كبير الحجم مبني بالحجارة فوق تكوين جبلي يشرف على الموقع من جهة الشرق، وعلى الأراضي المنخفضة التي يصب فيها الشلال من الغرب، وداخله حجرات مربعة ووحدات بنائية متعددة، وأدوات حجرية ورؤوس سهام.",https://saudipedia.com/article/17369/تاريخ/معالم-و-آثار/ما-هي-حضارة-المقر
حكومة وسياسة,ما هو الإطار الوطني للمؤهلات في السعودية؟,"هو إطار أعدّته هيئة تقويم التعليم والتدريب في المملكة العربية السعودية، للاستفادة من التجارب والممارسات العالمية في مجالي التعليم والتدريب؛ ليكون بمنزلة الدليل الإرشادي لمؤسسات التعليم عند بناء المؤهلات، كما تستفيد منه جهات العمل في التعرف على مهارات المتقدمين للوظائف.
صدرت النسخة الأولى من الدليل عام 1441هـ/2020م، فيما كان الإصدار الثاني عام 1444هـ/2023م، وهو نظام شامل لتصميم المؤهلات وتطويرها وتنظيمها وتسكينها ضمن ثمانية مستويات، وتقدم وصفًا لنواتج التعليم في كل مستوى وفق المعارف والقيم المستهدفة.
ويُقسم الإطار المهني المؤهلات العلمية إلى ثمانية مستويات، تبدأ من التعليم الابتدائي أو ما يعادله، والتعليم المتوسط أو ما يعادله، والتعليم الثانوي أو ما يعادله، والدبلوم المشارك أو ما يعادله، والدبلوم المتوسط أو ما يعادله، والبكالوريوس أو ما يعادلها، والماجستير أو ما يعادلها، والدكتوراه أو ما يعادلها.
وواءمت السعودية بين إطارها والتصنيف الدولي الموحد للتعليم ""إسكد""، الذي يُعد مرجعًا إحصائيًا معتمدًا لدى منظمة الأمم المتحدة للتصنيف الاقتصادي والاجتماعي؛ مما يمكّن من المعادلة بين المؤهلات، ويسهل عملية الانتقال بين مختلف المؤسسات.",https://saudipedia.com/article/17352/حكومة-وسياسة/التعليم-والتدريب/ما-هو-الإطار-الوطني-للمؤهلات-في-السعودية
اقتصاد وأعمال,أين يقع منتجع ديزرت روك؟,"يقع منتجع ""ديزرت روك"" الجبلي في أحد الأودية بين جبال منطقة تبوك شمال غربي المملكة العربية السعودية، ويمتد على مساحة 30 ألف م2، ويعد المنتجع ضمن مشاريع شركة البحر الأحمر الدولية، إحدى شركات صندوق الاستثمارات العامة.
افتتح منتجع ديزرت روك في 9 جمادى الآخرة 1446هـ/10 ديسمبر 2024م،ويهدف المشروع إلى المحافظة على المناظر الطبيعية، والاستمتاع بها دون إدخال كثير من التغييرات عليها، كما يهدف إلى إظهار الثقافة الأصلية للمنطقة، بتعيينه كادرًا من الشباب المحليين، يبرزون تاريخ وثقافة المنطقة للزوار من كل أنحاء العالم، إلى جانب التصميم المستوحى من طبيعة المنطقة.",https://saudipedia.com/article/17346/اقتصاد-وأعمال/سياحة/أين-يقع-منتجع-ديزرت-روك
اقتصاد وأعمال,ما الفرق بين الأراضي البيضاء والعقارات الشاغرة في السعودية؟,يتمثل الفرق بين الأراضي البيضاء والعقارات الشاغرة في المملكة العربية السعودية، في أن الأراضي البيضاء هي فضاء قابل للتنمية والتطوير ضمن حدود النطاق العمراني، بينما العقارات الشاغرة هي المباني الواقعة داخل النطاق العمراني، وغير مستغلة لفترة طويلة دون مسوغ مقبول، ويؤثر عدم استخدامها في توفير معروض كافٍ في السوق العقارية وفقًا لأحكام نظام رسوم الأراضي البيضاء والعقارات الشاغرة.,https://saudipedia.com/article/17345/اقتصاد-وأعمال/شؤون-اقتصادية/ما-الفرق-بين-الأراضي-البيضاء-والعقارات-الشاغرة-في-السعودية
ثقافة,ما الفرق بين الآثار الثابتة والمنقولة في السعودية؟,"الآثار الثابتة في المملكة العربية السعودية هي الآثار المتصلة بالأرض، كالكهوف الطبيعية أو المحفورة التي استخدمها الإنسان، والصخور التي رسم أو حفر عليها صورًا أو نقوشًا كتابية، وأطلال المدن والقرى، والمنشآت الظاهرة أو المطمورة تحت الأرض، وطرق التجارة والحج القديمة، والمدن والقرى والأحياء التقليدية، والأبنية المنشأة لغايات مختلفة، وما يتصل بها من عناصر معمارية.
والآثار المنقولة قطع أثرية صُنعت في الأصل لتكون بطبيعتها منفصلة عن الأرض أو عن الآثار الثابتة، ويمكن تغيير مكانها، كالمنحوتات، والمسكوكات، والكتابات، والحلي، وأدوات الزينة، والقطع التراثية.",https://saudipedia.com/article/17333/ثقافة/فنون-بصرية/ما-الفرق-بين-الآثار-الثابتة-والمنقولة-في-السعودية
اقتصاد وأعمال,متى اكتشفت بئر الدمام رقم 7؟,"اكتشفت بئر الدمام رقم 7 -بئر النفط- التي أطلق عليها اسم ""بئر الخير"" في شمالي الظهران بمحافظة الخبر في المنطقة الشرقية بالمملكة العربية السعودية عام 1357هـ/1938م، أي بعد نحو خمسة أعوام من أعمال البحث والتنقيب عن النفط منذ توقيع الملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود اتفاقية الامتياز للتنقيب عن النفط مع شركة ""ستاندرد أويل أوف كاليفورنيا (سوكال)"" بمدينة جدة في 4 صفر 1352هـ/29 مايو 1933م، وغطت الاتفاقية آنذاك التنقيب في مساحة بلغت نحو 829 ألف م2، تحديدًا من شمال السعودية عند حدود العراق، حتى صحراء الدهناء غربًا، وصحراء الربع الخالي جنوبًا.",https://saudipedia.com/article/17332/اقتصاد-وأعمال/أرامكو-السعودية/متى-اكتشفت-بئر-الدمام-رقم-7
